seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
43,nacc_to_adni,ce_only,target,3T,complete,0.6978021978021978,0.8754578754578755,0.7043478260869565,0.5384615384615384,0.8571428571428571,0.7352941176470589,0.19160584260344046,0.18873910766606244,0.30000000000000004,0.7,34,34
43,nacc_to_adni,ce_only,target,unknown,complete,1.0,,0.5,,1.0,1.0,3.373362892360216e-13,5.960464477539062e-07,,,1,1
43,nacc_to_adni,ce_only,source_val,3T,complete,0.8408892763731474,0.9335658238884046,0.7993730407523512,0.8108108108108109,0.8709677419354839,0.859375,0.10391646121448973,0.09755620053814101,0.15671788166067346,0.8345864661654135,192,192
43,nacc_to_adni,ce_only,source_test,3T,complete,0.9207497820401047,0.9762859633827377,0.8847216106952728,0.918918918918919,0.9225806451612903,0.921875,0.0683281140088605,0.05591675050608416,0.06666666666666665,0.9333333333333333,192,192
43,nacc_to_adni,mixstyle,target,1.5T,complete,0.7981859410430838,0.8932620667314546,0.7857142857142857,0.6984126984126984,0.8979591836734694,0.7857142857142857,0.16614733095516096,0.12939834687831095,0.19890109890109897,0.7857142857142857,224,224
43,nacc_to_adni,mixstyle,target,3T,complete,0.7747252747252746,0.8717948717948718,0.7786046511627907,0.6923076923076923,0.8571428571428571,0.7941176470588235,0.16226663490882998,0.14733820715371299,0.4242424242424243,0.5757575757575757,34,34
43,nacc_to_adni,mixstyle,target,unknown,complete,1.0,,0.5,,1.0,1.0,3.0390806688285634e-06,0.001743316650390625,,,1,1
43,nacc_to_adni,mixstyle,source_val,3T,complete,0.8911072362685266,0.9384481255448998,0.8439568094740508,0.8918918918918919,0.8903225806451613,0.890625,0.08028069623467216,0.04223482515145499,0.18045112781954886,0.8195488721804511,192,192
43,nacc_to_adni,mixstyle,source_test,3T,complete,0.8666957279860505,0.9595466434176111,0.8485992944594314,0.8108108108108109,0.9225806451612903,0.9010416666666666,0.07006390531764146,0.04535014270287417,0.05980066445182719,0.9285714285714286,192,192
43,nacc_to_adni,metadata,target,1.5T,complete,0.5051020408163266,0.46533851635892454,0.36350405433501976,0.07142857142857142,0.9387755102040817,0.45089285714285715,0.4728955853174604,0.4649553571428572,0.2852564102564102,0.22916666666666669,224,224
43,nacc_to_adni,metadata,target,3T,complete,0.46703296703296704,0.4835164835164836,0.4117647058823529,0.07692307692307693,0.8571428571428571,0.5588235294117647,0.4017586172740278,0.40598304923989026,0.3666666666666666,0.33333333333333337,34,34
43,nacc_to_adni,metadata,target,unknown,complete,1.0,,0.5,,1.0,1.0,0.0014230190497492613,0.03772297501564026,,,1,1
43,nacc_to_adni,metadata,source_val,3T,complete,0.8441150828247603,0.925893635571055,0.8052130482285,0.8108108108108109,0.8774193548387097,0.8645833333333334,0.10290953937727103,0.0726868939430762,0.18666666666666665,0.8,192,192
43,nacc_to_adni,metadata,source_test,3T,complete,0.8969485614646906,0.9611159546643417,0.8736842105263158,0.8648648648648649,0.9290322580645162,0.9166666666666666,0.06289449100264581,0.03243822314673007,0.1333333333333333,0.8666666666666667,192,192
43,nacc_to_adni,metadata_xda,target,1.5T,complete,0.5,0.5,0.36,1.0,0.0,0.5625,0.4375,0.4375,0.0,0.5,224,224
43,nacc_to_adni,metadata_xda,target,3T,complete,0.5476190476190477,0.5256410256410257,0.3758454106280193,1.0,0.09523809523809523,0.4411764705882353,0.5306674725334771,0.5364089059482915,0.29090909090909084,0.3,34,34
43,nacc_to_adni,metadata_xda,target,unknown,complete,1.0,,0.5,,1.0,1.0,2.021649211292088e-07,0.0004495978355407715,,,1,1
43,nacc_to_adni,metadata_xda,source_val,3T,complete,0.8249346120313863,0.9204882301656495,0.8536306460834763,0.6756756756756757,0.9741935483870968,0.9166666666666666,0.07552489123527142,0.06446572801926076,0.1428571428571428,0.8571428571428572,192,192
43,nacc_to_adni,metadata_xda,source_test,3T,complete,0.8757628596338274,0.9666957279860506,0.8876839310624127,0.7837837837837838,0.967741935483871,0.9322916666666666,0.05760000675660606,0.03907665281763501,0.09999999999999987,0.9000000000000001,192,192
43,nacc_to_adni,apis_v2,target,1.5T,complete,0.8679138321995465,0.935617103984451,0.861139440478333,0.8174603174603174,0.9183673469387755,0.8616071428571429,0.11358415243898136,0.07732138030841329,0.11500474833808161,0.8670465337132004,224,224
43,nacc_to_adni,apis_v2,target,3T,complete,0.8223443223443223,0.9377289377289377,0.8357487922705313,0.6923076923076923,0.9523809523809523,0.8529411764705882,0.10755678901864736,0.09401588025046317,0.21212121212121215,0.7878787878787878,34,34
43,nacc_to_adni,apis_v2,target,unknown,complete,1.0,,0.5,,1.0,1.0,2.8840841804407897e-12,1.7285346984863281e-06,,,1,1
43,nacc_to_adni,apis_v2,source_val,3T,complete,0.8396687009590236,0.9387968613775065,0.8294344092389696,0.7567567567567568,0.9225806451612903,0.890625,0.08138417387590899,0.05469140801061352,0.1278195488721805,0.8721804511278195,192,192
43,nacc_to_adni,apis_v2,source_test,3T,complete,0.8699215344376635,0.9600697471665214,0.8552036199095023,0.8108108108108109,0.9290322580645162,0.90625,0.0665489236526796,0.03689954956320829,0.0744702665755298,0.9157894736842105,192,192
44,adni_to_nacc,ce_only,target,3T,complete,0.5927940318412936,0.8940429551832403,0.6118711204948855,0.1881720430107527,0.9974160206718347,0.840625,0.11927229391958,0.09403980865867603,0.09737270402232046,0.8363171355498721,960,960
44,adni_to_nacc,ce_only,source_val,1.5T,complete,0.6865384615384615,0.9,0.6413255360623782,0.4230769230769231,0.95,0.6521739130434783,0.23866268439925856,0.17807719950442727,0.20000000000000007,0.7999999999999999,46,46
